0.003661, 0.146424, 50
0.018118, 0.289145, 50
0.042353, 0.484703, 50
0.076588, 0.684702, 50
0.121161, 0.891451, 50
0.176554, 1.107873, 50
0.243445, 1.337812, 50
0.322767, 1.586441, 50
0.415806, 1.860778, 50
0.524315, 2.170189, 50
0.650637, 2.526430, 50
0.797725, 2.941758, 50
0.968802, 3.421557, 50
1.166091, 3.945767, 50
1.388133, 4.440843, 50
1.627061, 4.778561, 50
1.869952, 4.857818, 50
2.105275, 4.706462, 50
2.327744, 4.449378, 50
2.537498, 4.195085, 50
2.736995, 3.989936, 50
2.928844, 3.836983, 50
3.114894, 3.721007, 50
3.295917, 3.620456, 50
3.465962, 3.400894, 50
3.617876, 3.038272, 50
3.749820, 2.638880, 50
3.860381, 2.211227, 50
3.947209, 1.736557, 50
4.007588, 1.207593, 50
4.040001, 0.648255, 50
4.047030, 0.140584, 50
4.056308, 0.185557, 50
4.068631, 0.246456, 50
4.073365, 0.094681, 50
4.080265, 0.138001, 50
4.097763, 0.349947, 50
4.122823, 0.501199, 50
4.152284, 0.589236, 50
4.183525, 0.624816, 50
4.214545, 0.620397, 50
4.243868, 0.586468, 50
4.270420, 0.531032, 50
4.293420, 0.460006, 50
4.312308, 0.377764, 50
4.326688, 0.287589, 50
4.336289, 0.192030, 50
4.340947, 0.093154, 50
4.342024, 0.021545, 50
4.342024, 0.000000, 50
